match_id,dc_p_loss,dc_p_draw,dc_p_win,dc_lam_h,dc_lam_a
34721,0.26037017800436213,0.3872166660969707,0.3524131558986672,0.7804260552805896,0.6269233016896869
34722,0.01407935312117774,0.059120097046954194,0.9268005498318681,3.446888936560503,0.3320071243055088
34723,0.2458276771405347,0.2808227759899823,0.47334954686948294,1.3879571290904595,0.9219764037465581
34724,0.28063679921334256,0.19340785828362045,0.525955342503037,2.4929477925507872,1.8249363001709065
34725,0.22726872616289337,0.23347991942072224,0.5392513544163842,1.850910296746509,1.1291639370824162
34726,0.40303400618150076,0.30809863605551296,0.2888673577629862,0.9217702127646261,1.1431548846859305
34727,0.2458346193017807,0.23441176541774653,0.5197536152804728,1.841710239607356,1.2047419314587258
34728,0.1864436674769555,0.20933985788517973,0.6042164746378649,2.120872238566005,1.101542476082285
34729,0.18654422200673854,0.27415244173576736,0.5393033362574942,1.4602881861001105,0.74216741905202
34730,0.10800131973582097,0.1834708769188248,0.7085278033453541,2.232403904691715,0.7501578796235782
34731,0.7159459023976009,0.17291518431502248,0.11113891328737668,0.8456174140107887,2.402252202395025
34732,0.004874812556198843,0.017029948285456488,0.9780952391583448,5.473317591305161,0.5066422904886908
34733,0.956774251229552,0.03222479387082512,0.011000954899622876,0.5804148751576823,4.733882741866482
34734,0.42718336278469266,0.2673206456528515,0.305495991562456,1.180813662394643,1.4422769247707607
34735,0.3061352790672359,0.2647755584145959,0.4290891625181682,1.4656855557430941,1.1996264181943213
34736,0.16895230952301832,0.2567077940886378,0.5743398963883438,1.5926634364211452,0.7396333247349356
34737,0.11337969097743736,0.21864622553009475,0.6679740834924679,1.8509668392032637,0.6148318327187791
34738,0.5389030808409516,0.2545292684482014,0.20656765071084676,0.9088814933087611,1.6260696138493986
34739,0.10876914452772618,0.15818841582021054,0.7330424396520634,2.6405079865209737,0.9439737799361421
34740,0.49819182073547036,0.21698070052473828,0.2848274787397914,1.538681320358939,2.0714459972825625
34741,0.7864656251816424,0.13536944217488048,0.07816493264347732,0.8133609397619986,2.824490919412283
34742,0.2764108435385169,0.323188830284168,0.4004003261773151,1.0660232804901595,0.8335924551546192
34743,0.432712699936727,0.26086170849377593,0.30642559156949695,1.2275127049163326,1.5037909910294505
34744,0.06091692003621341,0.17208275997613118,0.7670003199876556,2.11686347373536,0.4323586164373176
34745,0.8042810592806027,0.1368295986649646,0.0588893420544327,0.5729004050228959,2.584549925275791
34746,0.5365712359683863,0.23592337960609241,0.22750538442552135,1.1126118532676257,1.822428886696649
34747,0.06089445710242764,0.15740569308249844,0.7816998498150739,2.29412330112837,0.4884684059371109
34748,0.33947539258090176,0.30752390886778647,0.3530006985513117,1.0637763601808998,1.0374200689166069
34749,0.2328861041765019,0.2728377477536373,0.4942761480698607,1.460574897031013,0.9167829225973989
34750,0.523306062586522,0.3097405407486707,0.1669533966648072,0.5656929179489265,1.2324770163889156
34751,0.7650360778386857,0.17786072292811184,0.05710319923320259,0.38488715329610196,2.033363474763169
34752,0.5678690979190777,0.2711590434546745,0.1609718586262479,0.6532967270790627,1.4767202468557128
34753,0.3191977604278379,0.24234037024354424,0.4384618693286179,1.6906122349115267,1.4144272851939652
34754,0.9571795464927811,0.03849509358065645,0.0043253599265624405,0.14405078460154894,3.597092063912821
34755,0.04357284349299932,0.14790475241040182,0.8085224040965988,2.271200273102151,0.36324189289158637
34756,0.5401766709191832,0.2580099392535303,0.20181338982728664,0.8718226035235125,1.5937641812383685
34757,0.19514890558235332,0.2589409759628611,0.5459101184547857,1.5843702253020242,0.840147516826294
34758,0.3108053496847747,0.24826305400816365,0.44093159630706164,1.6323978018869214,1.3368861726722838
34759,0.6367827430263453,0.20161381508005813,0.16160344189359646,1.0075807646980823,2.1746225551355343
34760,0.12665527571134852,0.21445668380826532,0.6588880404803861,1.9272440845301675,0.7111423758143641
34761,0.03837650834542369,0.12996623249234518,0.8316572591622309,2.4588762543676808,0.37367916273165924
34762,0.46063499712795253,0.2971764562893771,0.2421885465826702,0.8399997542511868,1.2702074600028208
34763,0.44064875242308627,0.2607232406015424,0.2986280069753713,1.204838017447509,1.5152326409958081
34764,0.2999176881592601,0.31053133625944995,0.38955097558128987,1.111004123916678,0.9379106648731937
34765,0.2228118496585606,0.29856642962385427,0.4786217207175853,1.2755464793132916,0.7760022568625682
34766,0.19815564069076366,0.363160609851905,0.4386837494573312,0.9525707170695167,0.5393472186269437
34767,0.5344796723984149,0.26536236439421845,0.2001579632073667,0.830803959669116,1.530363459831223
34768,0.38719374610447377,0.34001299516727385,0.2727932587282523,0.7702044829329229,0.9775348974435859
34769,0.16703474553130665,0.24516007770027273,0.5878051767684205,1.691898890843661,0.7808875225446628
34770,0.11208730423108615,0.1941079117223592,0.6938047840465549,2.1128262976862873,0.7197906884832042
34771,0.25935389155886324,0.41430325594011735,0.32634285250101935,0.6818188243981224,0.5745840401292618
34772,0.0070374255637231,0.03716358881857386,0.9557989856177032,3.9100724423429223,0.2678321771829051
34773,0.1187676658608981,0.2242115500280864,0.6570207841110155,1.8112515531785742,0.6235644938734071
34774,0.5938354871659703,0.20447923051436998,0.20168528231965954,1.2346022989977576,2.2176033720170145
34775,0.14677151448958672,0.2910133981426234,0.5622150873677898,1.341710489811759,0.542299606334038
34776,0.12659927424246833,0.2828930275276137,0.5905076982299182,1.3834834843486299,0.4860043605670895
34777,0.12803320766400447,0.2444570352593389,0.6275097570766567,1.6522754268186144,0.5981334299044343
34778,0.688827127718972,0.1881913264874274,0.12298154579360077,0.8338839594153713,2.2335535686141634
34779,0.2058531318350032,0.35293714346283894,0.4412097247021579,0.9906102102893164,0.5786122124003736
34780,0.2545462984785971,0.36736290871479843,0.3780907928066045,0.8710420602780783,0.6583168877544819
34781,0.2293499350630642,0.22248854923029937,0.5481615157066363,1.9896145924858128,1.2254318290724693
34782,0.8378227140119532,0.11333990187689433,0.048837384111152515,0.60224139497957,2.9075226301633266
34783,0.2576387116661946,0.27765533055081426,0.4647059577829912,1.404069337215751,0.9752848551022831
34784,0.26787085409474853,0.28712757732734046,0.44500156857791107,1.3189244389824015,0.9596753018944937
34785,0.7455375404612059,0.1543625457380977,0.10009991380069647,0.8907378365962578,2.648545390759745
34786,0.04561583700975414,0.15528033513090841,0.7991038278593373,2.2002166397075986,0.35856798874166657
34787,0.4992841562711413,0.3288774013004439,0.1718384424284148,0.5375463804460806,1.1298108362317743
