match_number,round,date_utc,group,location,home_team,away_team,home_team_id,away_team_id,home_elo,away_elo,home_fifa_rank,away_fifa_rank,home_attack,home_defense,away_attack,away_defense,elo_diff,elo_expected_home,host_home,neutral
90,5,2026-07-04 17:00:00Z,,Houston Stadium,To be announced,To be announced,511.0,511.0,,,,,,,,,,,0,1
89,5,2026-07-04 21:00:00Z,,Philadelphia Stadium,To be announced,To be announced,511.0,511.0,,,,,,,,,,,0,1
91,5,2026-07-05 20:00:00Z,,New York/New Jersey Stadium,To be announced,To be announced,511.0,511.0,,,,,,,,,,,0,1
92,5,2026-07-06 00:00:00Z,,Mexico City Stadium,To be announced,To be announced,511.0,511.0,,,,,,,,,,,0,1
93,5,2026-07-06 19:00:00Z,,Dallas Stadium,To be announced,To be announced,511.0,511.0,,,,,,,,,,,0,1
94,5,2026-07-07 00:00:00Z,,Seattle Stadium,To be announced,To be announced,511.0,511.0,,,,,,,,,,,0,1
95,5,2026-07-07 16:00:00Z,,Atlanta Stadium,To be announced,To be announced,511.0,511.0,,,,,,,,,,,0,1
96,5,2026-07-07 20:00:00Z,,BC Place Vancouver,To be announced,To be announced,511.0,511.0,,,,,,,,,,,0,1
97,6,2026-07-09 20:00:00Z,,Boston Stadium,To be announced,To be announced,511.0,511.0,,,,,,,,,,,0,1
98,6,2026-07-10 19:00:00Z,,Los Angeles Stadium,To be announced,To be announced,511.0,511.0,,,,,,,,,,,0,1
99,6,2026-07-11 21:00:00Z,,Miami Stadium,To be announced,To be announced,511.0,511.0,,,,,,,,,,,0,1
100,6,2026-07-12 01:00:00Z,,Kansas City Stadium,To be announced,To be announced,511.0,511.0,,,,,,,,,,,0,1
101,7,2026-07-14 19:00:00Z,,Dallas Stadium,To be announced,To be announced,511.0,511.0,,,,,,,,,,,0,1
102,7,2026-07-15 19:00:00Z,,Atlanta Stadium,To be announced,To be announced,511.0,511.0,,,,,,,,,,,0,1
103,8,2026-07-18 21:00:00Z,,Miami Stadium,To be announced,To be announced,511.0,511.0,,,,,,,,,,,0,1
104,8,2026-07-19 19:00:00Z,,New York/New Jersey Stadium,To be announced,To be announced,511.0,511.0,,,,,,,,,,,0,1
