raw_name,canonical_name,team_id
Rhodes,Rhodes,412
Romani people,Romani people,413
Romania,Romania,414
Russia,Russia,415
Rwanda,Rwanda,416
Ryūkyū,Ryūkyū,417
Réunion,Réunion,418
SB,SB,419
SC,SC,420
SD,SD,421
SG,SG,422
SL,SL,423
SM,SM,424
SO,SO,425
SP,SP,426
SQ,SQ,427
SR,SR,428
SS,SS,429
ST,ST,430
SU,SU,431
SV,SV,432
SW,SW,433
SX,SX,434
SY,SY,435
SZ,SZ,436
Saare County,Saare County,437
Saarland,Saarland,438
Saint Barthélemy,Saint Barthélemy,439
Saint Helena,Saint Helena,440
Saint Kitts and Nevis,Saint Kitts and Nevis,441
Saint Lucia,Saint Lucia,442
Saint Martin,Saint Martin,443
Saint Pierre and Miquelon,Saint Pierre and Miquelon,444
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,445
Samoa,Samoa,446
San Marino,San Marino,447
Sao Tome and Principe,Sao Tome and Principe,448
Sark,Sark,449
Saudi Arabia,Saudi Arabia,450
Saugeais,Saugeais,451
Scotland,Scotland,452
Sealand,Sealand,453
Seborga,Seborga,454
Senegal,Senegal,455
Serbia,Serbia,456
Serbia and Montenegro,Serbia,456
Seychelles,Seychelles,457
Shetland,Shetland,458
Sierra Leone,Sierra Leone,459
Silesia,Silesia,460
Singapore,Singapore,461
Sint Maarten,Sint Maarten,462
Slovakia,Slovakia,463
Slovenia,Slovenia,464
Solomon Islands,Solomon Islands,465
Somalia,Somalia,466
Somaliland,Somaliland,467
South Africa,South Africa,468
South Korea,Korea Republic,267
South Ossetia,South Ossetia,469
South Sudan,South Sudan,470
South Yemen,South Yemen,471
Spain,Spain,472
Sri Lanka,Sri Lanka,473
St Kitts and Nevis,St Kitts and Nevis,474
St Lucia,St Lucia,475
St Vincent and the Grenadines,St Vincent and the Grenadines,476
Sudan,Sudan,477
Suriname,Suriname,478
Surrey,Surrey,479
Sweden,Sweden,480
Switzerland,Switzerland,481
Syria,Syria,482
Székely Land,Székely Land,483
Sápmi,Sápmi,484
São Tomé and Príncipe,São Tomé and Príncipe,485
TC,TC,486
TD,TD,487
TE,TE,488
TG,TG,489
TH,TH,490
TI,TI,491
TJ,TJ,492
TL,TL,493
TM,TM,494
TO,TO,495
TT,TT,496
TV,TV,497
TW,TW,498
TY,TY,499
TZ,TZ,500
Tahiti,Tahiti,501
Taiwan,Taiwan,502
Tajikistan,Tajikistan,503
Tamil Eelam,Tamil Eelam,504
Tanzania,Tanzania,505
Thailand,Thailand,506
The Gambia,The Gambia,507
Tibet,Tibet,508
Ticino,Ticino,509
Timor-Leste,Timor-Leste,510
To be announced,To be announced,511
Togo,Togo,512
Tonga,Tonga,513
Trinidad and Tobago,Trinidad and Tobago,514
Tunisia,Tunisia,515
Turkey,Türkiye,520
Turkmenistan,Turkmenistan,516
Turks and Caicos Islands,Turks and Caicos Islands,517
Tuvalu,Tuvalu,518
Two Sicilies,Two Sicilies,519
Türkiye,Türkiye,520
UG,UG,521
UH,UH,522
UM,UM,523
US Virgin Islands,US Virgin Islands,524
USA,USA,525
UT,UT,526
UV,UV,527
Uganda,Uganda,528
Ukraine,Ukraine,529
United Arab Emirates,United Arab Emirates,530
United Koreans in Japan,United Koreans in Japan,531
United States,USA,525
United States Virgin Islands,United States Virgin Islands,532
Uruguay,Uruguay,533
Uzbekistan,Uzbekistan,534
VA,VA,535
VC,VC,536
VE,VE,537
VG,VG,538
VI,VI,539
VN,VN,540
VU,VU,541
Vanuatu,Vanuatu,542
Vatican City,Vatican City,543
Venezuela,Venezuela,544
Vietnam,Vietnam,545
Vietnam Republic,Vietnam Republic,546
WA,WA,547
WF,WF,548
WG,WG,549
WM,WM,550
WS,WS,551
Wales,Wales,552
Wallis Islands and Futuna,Wallis Islands and Futuna,553
West Papua,West Papua,554
Western Armenia,Western Armenia,555
Western Australia,Western Australia,556
Western Isles,Western Isles,557
Western Sahara,Western Sahara,558
YE,YE,559
YT,YT,560
YU,YU,561
Yemen,Yemen,562
Yemen DPR,Yemen DPR,563
Ynys Môn,Ynys Môn,564
Yorkshire,Yorkshire,565
Yoruba Nation,Yoruba Nation,566
Yugoslavia,Serbia,456
ZD,ZD,567
ZM,ZM,568
ZN,ZN,569
ZR,ZR,570
ZW,ZW,571
Zaire,Congo DR,115
Zambia,Zambia,572
Zanzibar,Zanzibar,573
Zimbabwe,Zimbabwe,574
Åland Islands,Åland Islands,575
