ts,source,status,rows,url,note
2026-06-02T12:30:35.926558+00:00,elo,ok,191,https://www.eloratings.net/1981.tsv,
2026-06-02T12:30:37.148531+00:00,worldcup,ok,104,https://fixturedownload.com/feed/json/fifa-world-cup-2026,2026 fixtures
2026-06-02T12:30:37.157928+00:00,worldcup,ok,49,wc2026_qualified,
2026-06-02T12:30:37.164375+00:00,worldcup,ok,900,C:\Users\HP\OneDrive\Desktop\worldCup\fifa_wc_data\raw\kaggle\fifa-world-cup\wcmatches.csv,WC match history
2026-06-02T12:30:37.168400+00:00,worldcup,ok,21,C:\Users\HP\OneDrive\Desktop\worldCup\fifa_wc_data\raw\kaggle\fifa-world-cup\worldcups.csv,WC tournaments/hosts
2026-06-02T12:30:37.906604+00:00,elo,ok,192,https://www.eloratings.net/1982.tsv,
2026-06-02T12:30:39.718657+00:00,elo,ok,194,https://www.eloratings.net/1983.tsv,
2026-06-02T12:30:41.979757+00:00,elo,ok,194,https://www.eloratings.net/1984.tsv,
2026-06-02T12:30:44.305007+00:00,elo,ok,197,https://www.eloratings.net/1985.tsv,
2026-06-02T12:30:46.267757+00:00,elo,ok,197,https://www.eloratings.net/1986.tsv,
2026-06-02T12:30:48.317446+00:00,elo,ok,198,https://www.eloratings.net/1987.tsv,
2026-06-02T12:30:50.589779+00:00,elo,ok,199,https://www.eloratings.net/1988.tsv,
2026-06-02T12:30:52.775695+00:00,elo,ok,200,https://www.eloratings.net/1989.tsv,
2026-06-02T12:30:54.458415+00:00,elo,ok,201,https://www.eloratings.net/1990.tsv,
2026-06-02T12:30:56.700395+00:00,elo,ok,210,https://www.eloratings.net/1991.tsv,
2026-06-02T12:30:58.639884+00:00,elo,ok,217,https://www.eloratings.net/1992.tsv,
2026-06-02T12:31:00.637557+00:00,elo,ok,220,https://www.eloratings.net/1993.tsv,
2026-06-02T12:31:02.484483+00:00,elo,ok,222,https://www.eloratings.net/1994.tsv,
