2026-06-02 18:14:46,188 | INFO    | common             | wrote  98562 rows -> fifa_wc_data\processed\team_match_features.csv
2026-06-02 18:14:46,191 | INFO    | s09_features       | stage 09 (features) complete: 98562 team-match rows, 30 feature cols
2026-06-02 18:14:50,041 | INFO    | s08_players        | loaded 18127 current players (FIFA v23) from male_players.csv
2026-06-02 18:14:51,101 | INFO    | common             | wrote  18127 rows -> fifa_wc_data\processed\players.csv
2026-06-02 18:14:51,313 | INFO    | common             | wrote  12948 rows -> fifa_wc_data\processed\wc2026_player_pool.csv
2026-06-02 18:14:51,315 | INFO    | s08_players        | WC2026 pool: 12948 players across 48/48 teams
2026-06-02 18:14:51,337 | INFO    | common             | wrote     48 rows -> fifa_wc_data\processed\market_values.csv
2026-06-02 18:14:51,347 | INFO    | s08_players        | top squads by FIFA value:
      date    team  total_value    avg_value  median_value  n_players
2022-09-01   Spain 5108480000.0 4.752074e+06     1600000.0       1075
2022-09-01  France 4526415000.0 4.724859e+06     1300000.0        958
2022-09-01  Brazil 4174960000.0 5.790513e+06     2100000.0        721
2022-09-01 England 4006155000.0 2.448750e+06      687500.0       1636
2022-09-01 Germany 3477595000.0 2.883578e+06      937500.0       1206
2026-06-02 18:14:51,347 | INFO    | s08_players        | stage 08 (players) complete
2026-06-02 18:15:16,151 | INFO    | s10_db             | building C:\Users\HP\OneDrive\Desktop\worldCup\fifa_wc_data\db\football.db
2026-06-02 18:15:16,471 | INFO    | s10_db             |   table matches                    49353 rows, 14 cols
2026-06-02 18:15:17,373 | INFO    | s10_db             |   table team_match_features        98562 rows, 30 cols
2026-06-02 18:15:17,555 | INFO    | s10_db             |   table players                    18127 rows, 22 cols
2026-06-02 18:15:17,656 | INFO    | s10_db             |   table squads                     12948 rows, 6 cols
2026-06-02 18:15:17,701 | INFO    | s10_db             |   table elo_ratings                18142 rows, 4 cols
2026-06-02 18:15:17,849 | INFO    | s10_db             |   table fifa_rankings              67261 rows, 4 cols
2026-06-02 18:15:17,871 | INFO    | s10_db             |   table market_values                 48 rows, 6 cols
2026-06-02 18:15:17,889 | INFO    | s10_db             |   table wc_matches_history           900 rows, 15 cols
2026-06-02 18:15:17,908 | INFO    | s10_db             |   table wc_tournaments                21 rows, 10 cols
2026-06-02 18:15:17,929 | INFO    | s10_db             |   table wc2026_fixtures              104 rows, 9 cols
2026-06-02 18:15:17,940 | INFO    | s10_db             |   table wc2026_qualified_teams        49 rows, 3 cols
2026-06-02 18:15:18,123 | INFO    | s10_db             |   table goalscorers                47601 rows, 8 cols
2026-06-02 18:15:18,143 | INFO    | s10_db             |   table odds                           0 rows, 9 cols
2026-06-02 18:15:18,150 | INFO    | s10_db             |   table team_match_stats               0 rows, 13 cols
2026-06-02 18:15:18,157 | INFO    | s10_db             |   table player_match_stats             0 rows, 12 cols
2026-06-02 18:15:18,162 | INFO    | s10_db             |   table player_tournament_stats        0 rows, 8 cols
2026-06-02 18:15:18,169 | INFO    | s10_db             |   table injuries                       0 rows, 5 cols
2026-06-02 18:15:18,173 | INFO    | s10_db             |   table venues                         0 rows, 8 cols
2026-06-02 18:15:18,175 | INFO    | s10_db             | stage 10 (db) complete: 18 tables -> ['elo_ratings', 'fifa_rankings', 'goalscorers', 'injuries', 'market_values', 'matches', 'odds', 'player_match_stats', 'player_tournament_stats', 'players', 'squads', 'team_match_features', 'team_match_stats', 'venues', 'wc2026_fixtures', 'wc2026_qualified_teams', 'wc_matches_history', 'wc_tournaments']
2026-06-02 18:15:50,184 | INFO    | s12_venues         | geocoding 16 WC2026 venues
2026-06-02 18:16:26,536 | INFO    | common             | wrote     16 rows -> fifa_wc_data\processed\venues.csv
2026-06-02 18:16:26,536 | INFO    | s12_venues         | stage 12 (venues) complete: 15/16 geocoded
2026-06-02 18:17:07,261 | INFO    | s10_db             | building C:\Users\HP\OneDrive\Desktop\worldCup\fifa_wc_data\db\football.db
2026-06-02 18:17:07,469 | INFO    | s10_db             |   table matches                    49353 rows, 14 cols
2026-06-02 18:17:08,074 | INFO    | s10_db             |   table team_match_features        98562 rows, 30 cols
2026-06-02 18:17:08,197 | INFO    | s10_db             |   table players                    18127 rows, 22 cols
2026-06-02 18:17:08,253 | INFO    | s10_db             |   table squads                     12948 rows, 6 cols
2026-06-02 18:17:08,287 | INFO    | s10_db             |   table elo_ratings                18142 rows, 4 cols
