team,venue_id,venue_name,distance_km,timezone_delta,travel_fatigue_index,altitude_delta_m,eastward_penalty
Cabo Verde,15,Seattle Stadium,9432.41,-6,54.912,3.0,0
Cabo Verde,16,Toronto Stadium,6146.41,-3,26.171,85.0,0
Canada,1,Atlanta Stadium,1492.2,-1,7.309,290.0,0
Canada,2,BC Place Vancouver,3538.49,-3,24.515,11.0,0
Canada,3,Boston Stadium,513.56,0,0.0,83.0,0
Canada,4,Dallas Stadium,2285.69,-1,7.735,149.0,0
Canada,5,Guadalajara Stadium,3733.09,-2,16.451,1566.0,0
Canada,6,Houston Stadium,2453.15,-1,7.806,15.0,0
Canada,7,Kansas City Stadium,1695.88,-1,7.437,273.0,0
Canada,8,Los Angeles Stadium,3788.25,-3,24.72,247.0,0
Canada,9,Mexico City Stadium,3616.59,-2,16.387,2287.0,0
Canada,10,Miami Stadium,2220.37,0,0.0,12.0,0
Canada,11,Monterrey Stadium,3101.09,-2,16.08,549.0,0
Canada,12,New York/New Jersey Stadium,529.01,0,0.0,9.0,0
Canada,13,Philadelphia Stadium,610.49,0,0.0,1.0,0
Canada,14,San Francisco Bay Area Stadium,3903.9,-3,24.81,1.0,0
Canada,15,Seattle Stadium,3522.81,-3,24.502,3.0,0
Canada,16,Toronto Stadium,355.69,0,0.0,85.0,0
Colombia,1,Atlanta Stadium,3403.16,-1,8.133,290.0,0
Colombia,2,BC Place Vancouver,6756.17,-3,26.455,11.0,0
Colombia,3,Boston Stadium,4165.77,0,0.0,83.0,0
Colombia,4,Dallas Stadium,3909.6,-1,8.271,149.0,0
Colombia,5,Guadalajara Stadium,3626.33,-2,16.393,1566.0,0
Colombia,6,Houston Stadium,3569.09,-1,8.18,15.0,0
Colombia,7,Kansas City Stadium,4336.8,-1,8.375,273.0,0
Colombia,8,Los Angeles Stadium,5596.35,-3,25.89,247.0,0
Colombia,9,Mexico City Stadium,3165.63,-2,16.121,2287.0,0
Colombia,10,Miami Stadium,2431.82,0,0.0,12.0,0
Colombia,11,Monterrey Stadium,3641.19,-2,16.401,549.0,0
Colombia,12,New York/New Jersey Stadium,4014.42,0,0.0,9.0,0
Colombia,13,Philadelphia Stadium,3919.32,0,0.0,1.0,0
Colombia,14,San Francisco Bay Area Stadium,6060.24,-3,26.129,1.0,0
Colombia,15,Seattle Stadium,6611.49,-3,26.39,3.0,0
Colombia,16,Toronto Stadium,4359.69,0,0.0,85.0,0
Congo DR,1,Atlanta Stadium,11174.27,-7,65.25,290.0,0
Congo DR,2,BC Place Vancouver,13679.23,-9,85.713,11.0,0
Congo DR,3,Boston Stadium,10053.05,-6,55.294,83.0,0
Congo DR,4,Dallas Stadium,12328.47,-7,65.938,149.0,0
Congo DR,5,Guadalajara Stadium,13154.13,-8,75.877,1566.0,0
Congo DR,6,Houston Stadium,12246.19,-7,65.891,15.0,0
Congo DR,7,Kansas City Stadium,12018.56,-7,65.76,273.0,0
Congo DR,8,Los Angeles Stadium,14192.72,-9,86.045,247.0,0
Congo DR,9,Mexico City Stadium,12730.9,-8,75.615,2287.0,0
Congo DR,10,Miami Stadium,10767.61,-6,55.706,12.0,0
Congo DR,11,Monterrey Stadium,12779.61,-8,75.645,549.0,0
Congo DR,12,New York/New Jersey Stadium,10274.8,-6,55.425,9.0,0
Congo DR,13,Philadelphia Stadium,10363.62,-6,55.477,1.0,0
Congo DR,14,San Francisco Bay Area Stadium,14337.36,-9,86.136,1.0,0
Congo DR,15,Seattle Stadium,13745.77,-9,85.757,3.0,0
Congo DR,16,Toronto Stadium,10725.03,-6,55.683,85.0,0
Croatia,1,Atlanta Stadium,8104.42,-7,63.002,290.0,0
Croatia,2,BC Place Vancouver,8726.01,-9,81.668,11.0,0
Croatia,3,Boston Stadium,6630.99,-6,52.798,83.0,0
Croatia,4,Dallas Stadium,8972.73,-7,63.714,149.0,0
Croatia,5,Guadalajara Stadium,10429.67,-8,74.02,1566.0,0
Croatia,6,Houston Stadium,9149.57,-7,63.851,15.0,0
Croatia,7,Kansas City Stadium,8315.33,-7,63.182,273.0,0
Croatia,8,Los Angeles Stadium,10001.42,-9,82.895,247.0,0
Croatia,9,Mexico City Stadium,10277.3,-8,73.902,2287.0,0
Croatia,10,Miami Stadium,8434.28,-6,54.241,12.0,0
Croatia,11,Monterrey Stadium,9798.91,-8,73.521,549.0,0
Croatia,12,New York/New Jersey Stadium,6903.45,-6,53.04,9.0,0
Croatia,13,Philadelphia Stadium,7037.81,-6,53.155,1.0,0
Croatia,14,San Francisco Bay Area Stadium,9851.86,-9,82.76,1.0,0
Croatia,15,Seattle Stadium,8864.47,-9,81.809,3.0,0
Croatia,16,Toronto Stadium,7052.7,-6,53.168,85.0,0
Curaçao,1,Atlanta Stadium,2875.59,-1,7.964,290.0,0
Curaçao,2,BC Place Vancouver,6433.62,-3,26.308,11.0,0
Curaçao,3,Boston Stadium,3340.33,0,0.0,83.0,0
Curaçao,4,Dallas Stadium,3650.15,-1,8.203,149.0,0
Curaçao,5,Guadalajara Stadium,3788.86,-2,16.48,1566.0,0
