rank,team,country_code,points,previous_points,confederation,rank_date,source
162.0,Andorra,AND,996.05,998.75,UEFA,2024-06-20,kaggle_cashncarry
163.0,Chinese Taipei,TPE,991.34,1007.3,AFC,2024-06-20,kaggle_cashncarry
164.0,Myanmar,MYA,988.98,999.46,AFC,2024-06-20,kaggle_cashncarry
165.0,Papua New Guinea,PNG,985.32,985.32,OFC,2024-06-20,kaggle_cashncarry
166.0,Fiji,FIJ,983.81,983.81,OFC,2024-06-20,kaggle_cashncarry
167.0,South Sudan,SSD,980.02,984.65,CAF,2024-06-20,kaggle_cashncarry
168.0,St Lucia,LCA,979.57,988.67,CONCACAF,2024-06-20,kaggle_cashncarry
169.0,Cuba,CUB,975.01,980.65,CONCACAF,2024-06-20,kaggle_cashncarry
170.0,Vanuatu,VAN,972.14,972.14,OFC,2024-06-20,kaggle_cashncarry
171.0,Bermuda,BER,971.15,974.3,CONCACAF,2024-06-20,kaggle_cashncarry
172.0,Malta,MLT,970.62,973.14,UEFA,2024-06-20,kaggle_cashncarry
173.0,Grenada,GRN,953.67,950.99,CONCACAF,2024-06-20,kaggle_cashncarry
174.0,St Vincent and the Grenadines,VIN,938.4,953.47,CONCACAF,2024-06-20,kaggle_cashncarry
175.0,Nepal,NEP,935.93,937.84,AFC,2024-06-20,kaggle_cashncarry
176.0,Montserrat,MSR,934.46,946.08,CONCACAF,2024-06-20,kaggle_cashncarry
177.0,Barbados,BRB,932.64,943.8,CONCACAF,2024-06-20,kaggle_cashncarry
178.0,Chad,CHA,929.97,945.92,CAF,2024-06-20,kaggle_cashncarry
179.0,Mauritius,MRI,927.94,919.4,CAF,2024-06-20,kaggle_cashncarry
180.0,Cambodia,CAM,924.52,925.4,AFC,2024-06-20,kaggle_cashncarry
181.0,Samoa,SAM,920.54,920.54,OFC,2024-06-20,kaggle_cashncarry
182.0,Dominica,DMA,912.93,922.25,CONCACAF,2024-06-20,kaggle_cashncarry
183.0,Bhutan,BHU,904.1,904.1,AFC,2024-06-20,kaggle_cashncarry
184.0,Belize,BLZ,901.43,919.52,CONCACAF,2024-06-20,kaggle_cashncarry
185.0,Bangladesh,BAN,896.67,905.3,AFC,2024-06-20,kaggle_cashncarry
186.0,Macau,MAC,896.62,896.62,AFC,2024-06-20,kaggle_cashncarry
187.0,Cook Islands,COK,896.59,896.59,OFC,2024-06-20,kaggle_cashncarry
188.0,American Samoa,ASA,890.97,890.97,OFC,2024-06-20,kaggle_cashncarry
189.0,Laos,LAO,889.62,889.62,AFC,2024-06-20,kaggle_cashncarry
190.0,Mongolia,MNG,884.92,884.04,AFC,2024-06-20,kaggle_cashncarry
191.0,Brunei Darussalam,BRU,881.73,872.65,AFC,2024-06-20,kaggle_cashncarry
192.0,Sao Tome and Principe,STP,878.09,893.58,CAF,2024-06-20,kaggle_cashncarry
193.0,Djibouti,DJI,875.13,877.28,CAF,2024-06-20,kaggle_cashncarry
194.0,Aruba,ARU,873.9,875.82,CONCACAF,2024-06-20,kaggle_cashncarry
195.0,Cayman Islands,CAY,865.34,847.81,CONCACAF,2024-06-20,kaggle_cashncarry
196.0,Timor-Leste,TLS,843.4,843.4,AFC,2024-06-20,kaggle_cashncarry
197.0,Pakistan,PAK,842.59,849.94,AFC,2024-06-20,kaggle_cashncarry
198.0,Gibraltar,GIB,836.14,832.5,UEFA,2024-06-20,kaggle_cashncarry
199.0,Liechtenstein,LIE,835.83,832.75,UEFA,2024-06-20,kaggle_cashncarry
200.0,Tonga,TGA,833.12,833.12,OFC,2024-06-20,kaggle_cashncarry
201.0,Seychelles,SEY,831.96,845.53,CAF,2024-06-20,kaggle_cashncarry
202.0,Somalia,SOM,829.81,842.64,CAF,2024-06-20,kaggle_cashncarry
203.0,Bahamas,BAH,823.58,835.81,CONCACAF,2024-06-20,kaggle_cashncarry
204.0,Guam,GUM,821.91,821.91,AFC,2024-06-20,kaggle_cashncarry
205.0,Sri Lanka,SRI,820.32,829.41,AFC,2024-06-20,kaggle_cashncarry
206.0,Turks and Caicos Islands,TCA,817.03,817.03,CONCACAF,2024-06-20,kaggle_cashncarry
207.0,British Virgin Islands,VGB,801.29,813.31,CONCACAF,2024-06-20,kaggle_cashncarry
208.0,US Virgin Islands,VIR,797.29,797.29,CONCACAF,2024-06-20,kaggle_cashncarry
209.0,Anguilla,AIA,779.86,793.48,CONCACAF,2024-06-20,kaggle_cashncarry
210.0,San Marino,SMR,739.64,742.05,UEFA,2024-06-20,kaggle_cashncarry
