team,tournament,confederation,cont_pld,cont_w,cont_d,cont_l,cont_gf,cont_ga,cont_pts,cont_ppg,reached_stage,reached_ordinal,is_wc2026
Senegal,AFCON 2023,CAF,4,3.0,1.0,0.0,9.0,2.0,10.0,2.5,Group stage,1,True
Cape Verde,AFCON 2023,CAF,5,3.0,2.0,0.0,8.0,3.0,11.0,2.2,Group stage,1,True
Morocco,AFCON 2023,CAF,4,2.0,1.0,1.0,5.0,3.0,7.0,1.75,Group stage,1,True
South Africa,AFCON 2023,CAF,7,2.0,4.0,1.0,7.0,3.0,10.0,1.429,Group stage,1,True
Mexico,2024 Copa America,CONMEBOL,3,1.0,1.0,1.0,1.0,1.0,4.0,1.333,Group stage,1,True
DR Congo,AFCON 2023,CAF,7,1.0,5.0,1.0,6.0,5.0,8.0,1.143,Group stage,1,True
United States,2024 Copa America,CONMEBOL,3,1.0,0.0,2.0,3.0,3.0,3.0,1.0,Group stage,1,True
Egypt,AFCON 2023,CAF,4,0.0,4.0,0.0,7.0,7.0,4.0,1.0,Group stage,1,True
Haiti,Gold Cup 2023,CONCACAF,3,1.0,0.0,2.0,4.0,6.0,3.0,1.0,Group stage,1,True
Croatia,Euro 2024,UEFA,3,0.0,2.0,1.0,3.0,6.0,2.0,0.667,Group stage,1,True
Algeria,AFCON 2023,CAF,3,0.0,2.0,1.0,3.0,4.0,2.0,0.667,Group stage,1,True
Tunisia,AFCON 2023,CAF,3,0.0,2.0,1.0,1.0,2.0,2.0,0.667,Group stage,1,True
Scotland,Euro 2024,UEFA,3,0.0,1.0,2.0,2.0,7.0,1.0,0.333,Group stage,1,True
Czech Republic,Euro 2024,UEFA,3,0.0,1.0,2.0,3.0,5.0,1.0,0.333,Group stage,1,True
Paraguay,2024 Copa America,CONMEBOL,3,0.0,0.0,3.0,3.0,8.0,0.0,0.0,Group stage,1,True
Ghana,AFCON 2023,CAF,3,0.0,2.0,1.0,5.0,6.0,,,Group stage,1,True
Iran,AFC Asian Cup 2023,AFC,6,4.0,1.0,1.0,12.0,7.0,,,Group stage,1,True
South Korea,AFC Asian Cup 2023,AFC,6,2.0,3.0,1.0,11.0,10.0,,,Group stage,1,True
Nigeria,AFCON 2023,CAF,7,4.0,2.0,1.0,8.0,4.0,14.0,2.0,Final,4,False
Venezuela,2024 Copa America,CONMEBOL,3,3.0,0.0,0.0,6.0,1.0,9.0,3.0,Knockout,3,False
